	show_name	D614G_IC50	SARS_IC50	Omicron_IC50	R346K_IC50	BA2_IC50	BA2_12_1_IC50	BA2_13_IC50	BA3_IC50	BA4_IC50	pangolin_GD_IC50	RaTG13_IC50	D614G_L452M_IC50	D614G_L452R_IC50	D614G_L452Q_IC50	SARS_ELISA	Omicron_ELISA	SARS_ELISA_300ng	RaTG13_300ng	pangolin_GD_300ng	pangolin_GX_300ng	PC4_127_300ng	sin852_300ng	WIV1_300ng	LYRa11_300ng	RS7327_300ng	GZ_C_300ng	Urbani_300ng	RS4231_300ng	RS4247_300ng	BM48_31_300ng	BtKY72_300ng	SHAANXI2011_300ng	YN2013_300ng	RP3_300ng	ZC45_300ng	Anlong112_300ng	SC2018_300ng	ZXC21_300ng	ELISA_3ug_compete	ELISA_150ng_compete	ELISA_compete_level
BD30-395	BD-395	Inf*	--	--	--	0.2347563	--	--	--	--	Inf*	--	--	--	--	--	--	0.17	--	--	--	--	--	--	0.051	0.146	0.044	0.045	0.07	0.063	--	--	--	--	0.045	0.1	0.26	0.046	0.45	--	--	IGHG1
BD30-397	BD-397	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	--	0	--	0.09	--	--	--	--	--	--	0.05	0.099	0.045	0.046	0.086	0.046	--	--	--	--	0.043	0.121	0.483	0.049	0.47	3.478	0.145773433	IGHG1
BD30-403	BD-403	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf	Inf*	--	--	--	--	0	--	0.14	--	--	--	--	--	--	0.066	0.101	0.05	0.053	0.075	0.053	--	--	--	--	0.045	0.11	0.318	0.049	0.46	3.471	0.382022472	IGHG1
BD30-417	BD-417	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	5.69965	Inf*	--	--	--	--	0	--	0.12	--	--	--	--	--	--	0.051	0.085	0.054	0.056	0.086	0.053	--	--	--	--	0.043	0.116	0.279	0.048	0.46	3.384	0.274527187	IGHG1
BD30-418	BD-418	Inf*	--	--	--	1.899498	--	--	--	--	--	--	--	--	--	--	--	0.11	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.47	--	--	IGHG1
BD30-421	BD-421	Inf*	--	--	--	Inf	--	--	--	--	--	--	--	--	--	--	--	0.11	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.47	--	--	IGHG1
BD30-449	BD-449	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0201182	--	--	--	--	--	0	--	0.02	--	--	--	--	--	--	0.048	0.067	0.048	1.525	1.097	0.054	--	--	--	--	0.042	0.109	0.856	0.052	0.49	3.231	0.748065614	IGHG1
BD30-467	BD-467	0.0058	Inf	3.2512	4.77733	5.18051	4.629341	3.55691	2.919	2.80939	0.00733155	0.000496311	--	--	--	--	0	0.23	3.357	3.441	0.105	0.051	0.049	0.058	0.049	0.049	0.081	0.053	0.048	0.085	0.047	0.02	0.053	0.056	0.141	0.047	0.142	0.208	0.048	0.568	3.221	0.823657249
BD30-494	BD-494	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0103051	0.00164886	--	--	--	--	0	--	0.1	--	--	--	--	--	--	0.056	0.116	0.099	0.068	0.101	0.074	--	--	--	--	0.049	0.11	0.231	0.061	0.47	3.111	0.781742205	IGHG1
BD30-498	BD-498	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.102733	--	--	--	--	--	0	--	0.15	--	--	--	--	--	--	0.062	0.179	0.063	0.073	0.095	0.106	--	--	--	--	0.057	0.121	0.268	0.06	0.45	3.29	0.645288754	IGHG1
BD30-500	BD-500	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	13.2236	Inf*	--	--	--	--	0	--	0.09	--	--	--	--	--	--	0.053	0.146	0.049	0.048	0.074	0.064	--	--	--	--	0.047	0.11	0.073	0.085	0.47	3.361	0.108301101	IGHG1
BD30-503	BD-503	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0046748	--	--	--	--	--	0	--	0.08	--	--	--	--	--	--	0.049	0.085	0.049	0.045	0.084	0.059	--	--	--	--	0.042	0.17	0.235	0.049	0.47	3.273	0.860067217	IGHG1
BD30-504	BD-504	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0262616	--	--	--	--	--	0	--	0.11	--	--	--	--	--	--	0.05	0.078	0.046	0.045	0.085	0.05	--	--	--	--	0.045	0.109	0.257	0.064	0.46	3.294	0.622343655	IGHG1
BD30-505	BD-505	Inf*	--	--	--	1.251777	--	--	--	--	--	--	--	--	--	--	--	0.05	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.48	--	--	--
BD30-507	BD-507	Inf*	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0112146	--	--	--	--	--	--	--	0.05	--	--	--	--	--	--	0.072	0.072	0.057	0.046	0.089	0.048	--	--	--	--	0.043	0.139	0.104	0.053	0.48	3.398	0.755150088	IGHG1
BD30-508	BD-508	Inf*	>10	--	--	0.0501495	--	--	--	--	Inf*	--	--	--	--	0	--	0.07	--	--	--	--	--	--	0.056	0.077	0.056	0.065	0.087	0.053	--	--	--	--	0.048	0.093	0.129	0.049	0.48	--	--	IGHG1
BD30-515	BD-515	Inf*	0.0046659	0.00570976	0.00491	0.00686837	0.0067856	0.0103718	0.00586556	--	--	--	--	--	--	--	--	0.06	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.48	4.1716	0.157996932	IGHG1
BD30-536	BD-536	2.6	Inf	>10	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	--	0	0.056	0.053	0.153	0.051	0.052	0.066	0.067	0.051	0.053	0.084	0.054	0.054	0.076	0.055	0.086	0.05	0.072	0.14	0.074	0.115	0.268	0.047	3.349	3.365	0.004754829
BD30-566	BD-566	0.0041	Inf	1.7	0.941486	2.63891	1.61911	1.533615	2.224	7.3916	0.00447922	Inf*	--	--	--	--	0	0.177	0.052	3.49	0.052	0.054	0.054	0.059	0.056	0.053	0.098	0.058	0.054	0.094	0.05	0.06	0.058	0.051	0.135	0.049	0.114	0.112	0.052	0.626	3.452	0.818655852
BD30-593	DXP-593	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.197534	Inf*	--	--	--	--	0	--	0.04	--	--	--	--	--	--	0.051	0.137	0.052	0.048	0.087	0.107	--	--	--	--	0.048	0.115	0.089	0.048	0.49	3.422	0.870835769	IGHG1
BD30-598	BD-598	0.0769	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.32988	Inf*	--	--	--	0	0	0.074	0.074	2.702	0.055	0.046	0.05	0.075	0.05	0.048	0.148	0.049	0.046	0.084	0.052	0.098	0.06	0.046	0.151	0.043	0.107	0.069	0.045	1.929	3.323	0.419500451
BD30-599	BD-599	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.117527	--	--	--	--	--	0	--	0.12	--	--	--	--	--	--	0.056	0.105	0.05	0.048	0.075	0.076	--	--	--	--	0.045	0.101	0.203	0.051	0.46	3.108	0.614864865	IGHG1
BD30-604	DXP-604	>10	0.284779009	0.198321	0.2193	0.201	0.1478379	0.2590979	6.26434	0.00735994	0.00109535	--	--	--	0.016486208	2	0	0.05	--	--	--	--	--	--	0.057	0.072	0.046	0.047	0.063	0.074	--	--	--	--	0.057	0.126	0.141	0.054	0.48	2.977	0.762176688	IGHG1
BD30-605	BD-605	0.0935	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0415736	--	--	--	--	0	0	0.373	1.982	3.243	0.052	0.05	0.05	0.052	0.051	0.064	0.083	0.051	0.056	0.069	0.064	0.117	0.053	0.047	0.14	0.043	0.113	0.135	0.048	1.476	3.4	0.565882353
BD30-612	BD-612	0.03	Inf*	5.4776	9.3073	3.07479	4.89	3.1094	2.991	4.871	0.0172117	--	--	--	--	0	0	0.294	1.164	3.461	0.09	0.312	0.238	0.31	0.253	0.06	0.088	0.059	0.055	0.069	0.135	0.318	0.063	0.07	0.147	0.046	0.103	0.205	0.052	1.073	3.384	0.682919622
BD30-613	BD-613	Inf*	--	--	--	0.02321478	--	--	--	--	--	--	--	--	--	--	--	0.07	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.48	--	--	--
BD30-614	BD-614	Inf*	0.03754	0.0282652	0.0277739	0.0226897	0.02742739	0.0224	0.0312	0.0853411	--	--	--	--	--	0	--	0.06	--	--	--	--	--	--	0.22	0.352	0.216	0.074	0.065	0.048	--	--	--	--	0.072	0.148	0.206	0.049	0.48	3.348	0.676821983	IGHG1
BD30-616	BD-616	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.067345	Inf*	--	--	--	--	0	--	0.06	--	--	--	--	--	--	0.05	0.076	0.209	0.049	0.079	0.046	--	--	--	--	0.044	0.093	0.147	0.046	0.48	3.388	0.575265643	IGHG1
BD30-618	BD-618	Inf*	0.049	0.0510771	0.0649826	0.0552528	0.02798537	0.0331	0.0551462	0.0323969	--	--	--	--	--	0	--	0.05	--	--	--	--	--	--	0.055	0.144	0.057	0.068	0.088	0.097	--	--	--	--	0.05	0.107	0.13	0.052	0.48	3.391	0.5762312	IGHG1
BD30-619	BD-619	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.996784	Inf*	--	--	--	--	0	--	0.04	--	--	--	--	--	--	0.059	0.126	0.052	0.043	0.073	0.053	--	--	--	--	0.044	0.111	0.258	0.044	0.49	3.348	0.375746714	IGHG1
BD30-623	BD-623	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.010632	Inf*	--	--	--	--	0	--	0.09	--	--	--	--	--	--	0.083	0.121	0.047	0.047	0.059	0.065	--	--	--	--	0.046	0.093	0.204	0.061	0.47	3.474	0.92199194	IGHG1
BD30-628	BD-628	Inf*	--	--	--	Inf	--	--	--	--	--	--	--	--	--	--	--	0.05	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.48	--	--	IGHG1
BD30-629	BD-629	Inf*	1.55581	1.10061	2.10725	1.613943	2.02773	1.672	1.863692	0.0693939	Inf	--	--	--	--	--	--	0.03	--	--	--	--	--	--	0.075	0.118	0.069	0.048	0.055	0.05	--	--	--	--	0.044	0.257	0.133	0.08	0.49	3.378	0.83866193	IGHG1
BD45-1	S309	0.0313172	0.361495726	0.31396	0.918483952	0.98891	0.700244	0.9721	0.791735	>10	>10	--	--	--	0.073155129	0	--	3.47	3.45	3.34	3.43	3.48	3.27	3.44	3.29	3.359	3.357	2.892	0.293	0.59	1.75	0.08	0.05	0.05	0.431	0.09	0.102	0.131	0.29	3.385	0.012703102	--
BD45-3	REGN10933	>10	>10	8.912	>10	>10	9.221	>10	>10	0.157055	>10	--	--	--	0.002526298	0	--	0.02	--	--	--	--	--	--	0.058	0.06	0.062	0.074	0.063	0.076	--	--	--	--	0.053	0.047	0.05	0.06	0.49	3.463	0.915968813	--
BD45-4	REGN10987	>10	>10	>10	0.589611631	0.4991325	0.416725	>10	0.52012	0.0836815	>10	--	--	--	0.004586716	0	--	0.01	--	--	--	--	--	--	0.051	0.053	0.044	0.046	0.054	0.058	--	--	--	--	0.047	0.045	0.046	0.05	0.5	3.248	0.625923645	--
BD45-7	P2B-2F6	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf	Inf*	--	--	--	--	0	--	0.05	--	--	--	--	--	--	0.065	0.098	0.058	0.053	0.058	0.054	--	--	--	--	0.071	0.048	0.051	0.051	0.48	3.169	0.438939729	--
BD45-9	H014	0.17961	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.18782	0.0188847	--	--	--	--	--	--	--	--	--	--	--	--	--	3.067	3.433	3.355	2.934	0.958	1.053	--	--	--	--	1.762	0.185	0.341	2.329	0	3.406	0.48120963	--
BD45-11	LY-CoV555	>10	>10	>10	>10	>10	>10	>10	>10	0.00684763	>10	--	--	--	Inf	0	--	0.03	--	--	--	--	--	--	0.048	0.052	0.073	0.042	0.046	0.05	--	--	--	--	0.058	0.055	0.083	0.069	0	3.184	0.896670854	--
BD45-12	COV2-2196	>10	5.419478231	4.76443	4.311707936	5.521	3.5912	5.6089	>10	0.0174008	>10	--	--	--	0.002360144	0	--	0	--	--	--	--	--	--	0.056	0.101	0.088	0.049	0.045	0.045	--	--	--	--	0.058	0.056	0.048	0.049	--	3.362	0.908387864	--
BD45-13	COV2-2130	>10	3.006854359	Inf	0.006285423	0.010981	0.006629	0.01124519	0.02341	>10	>10	--	--	--	0.004321574	0	--	0.01	--	--	--	--	--	--	0.064	0.187	0.064	0.054	0.046	0.045	--	--	--	--	0.049	0.053	0.059	0.05	0	3.421	0.699503069	--
BD45-14	S304	0.14	8.1	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	--	--	--	--	--	--	0	0	4.19	--	--	--	--	--	--	3.431	3.432	3.377	3.392	0.13	3.306	--	--	--	--	0.234	0.06	0.069	0.22	0.1	3.383	0.011528229	--
BD45-15	S2M11	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	2.75556	Inf*	--	--	--	--	0	--	0.01	--	--	--	--	--	--	0.071	0.109	0.069	0.065	0.07	0.085	--	--	--	--	0.049	0.109	0.092	0.052	0.5	3.262	0.616492949	--
BD45-16	S2H14	Inf*	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf	Inf*	--	--	--	--	--	--	0.02	--	--	--	--	--	--	0.066	0.074	0.055	0.057	0.057	0.048	--	--	--	--	0.055	0.074	0.127	0.048	0	3.418	0.355471036	--
BD45-17	S2H13	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	1.18621	Inf*	--	--	--	--	0	--	0.1	--	--	--	--	--	--	0.069	0.107	0.058	0.06	0.063	0.048	--	--	--	--	0.043	0.104	0.077	0.05	0	3.403	0.561269468	--
BD45-18	S2E12	Inf*	0.13532	0.128897	0.179473	0.1540026	0.16778	0.208128	Inf	0.00309654	--	--	--	--	--	0	--	0.02	--	--	--	--	--	--	0.093	0.198	0.081	0.056	0.094	0.126	--	--	--	--	0.05	0.126	0.088	0.052	0.49	3.365	0.890341753	--
BD45-19	S2A4	Inf*	Inf*	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	--	--	--	0.89	--	--	--	--	--	--	0.186	0.21	0.226	0.071	0.044	0.06	--	--	--	--	0.059	0.054	0.06	0.049	0	3.251	0.362042448	--
BD45-20	P4A1	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.368253	1.23899	--	--	--	--	0	--	0.08	--	--	--	--	--	--	0.056	0.066	0.052	0.047	0.065	0.048	--	--	--	--	0.06	0.045	0.065	0.058	0.47	3.3	0.352727273	--
BD45-21	BRII-196	>10	7.117648832	6.3242	8.529595734	7.62	6.902	7.8332	7.124	0.0126003	0.0155602	--	--	--	0.041934828	0	--	0.04	--	--	--	--	--	--	0.053	0.052	0.045	0.051	0.053	0.045	--	--	--	--	0.055	0.043	0.049	0.058	0.49	3.197	0.728495464	--
BD45-22	P2C-1A3	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf	Inf*	--	--	--	--	0	--	0.09	--	--	--	--	--	--	0.064	0.079	0.065	0.071	0.065	0.069	--	--	--	--	0.06	0.048	0.053	0.053	0.47	3.481	0.655558747	--
BD45-25	LY-CoV488	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf	Inf*	--	--	--	--	0	--	0.11	--	--	--	--	--	--	0.058	0.06	0.043	0.045	0.052	0.056	--	--	--	--	0.055	0.042	0.044	0.05	0.47	3.425	0.165547445	--
BD45-26	LY-CoV481	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	1.11463	0.000414725	--	--	--	--	0	--	0.12	--	--	--	--	--	--	0.059	0.056	0.065	0.049	0.059	0.053	--	--	--	--	0.058	0.047	0.062	0.05	0.46	3.441	0.467887242	--
BD45-27	H4	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0289308	--	--	--	--	--	0	--	0.38	--	--	--	--	--	--	0.108	0.161	0.115	0.077	0.069	0.108	--	--	--	--	0.077	0.068	0.069	0.059	0.39	3.478	0.144048304	--
BD45-30	EY6A	Inf*	Inf	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	--	--	--	4.17	--	--	--	--	--	--	0.245	1.341	0.292	0.735	2.876	3.339	--	--	--	--	2.936	2.948	2.922	2.469	0.08	3.368	0.020783848	--
BD45-31	DH1047	0.0102	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.050736	0.00754643	--	--	--	--	0	--	3.5	3.49	3.51	3.39	3.49	3.27	3.49	0.074	0.114	0.08	0.146	0.156	2.47	3.42	3.44	3.41	3.44	0.112	0.059	0.06	0.053	0.01	3.351	0.571769621	--
BD45-32	DH1041	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.00520551	--	--	--	--	--	0	--	0.16	--	--	--	--	--	--	0.062	0.065	0.064	0.048	0.055	0.047	--	--	--	--	0.048	0.045	0.069	0.064	0.46	3.256	0.955773956	--
BD45-33	CV30	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	9.09015	0.140595	--	--	--	--	0	--	0.12	--	--	--	--	--	--	0.052	0.045	0.043	0.049	0.055	0.043	--	--	--	--	0.047	0.045	0.049	0.045	0.46	3.444	0.513937282	--
BD45-34	CV07-270	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf	Inf*	--	--	--	--	0	--	0.11	--	--	--	--	--	--	0.089	0.081	0.072	0.072	0.076	0.053	--	--	--	--	0.058	0.06	0.078	0.067	0.48	3.426	0.832457677	--
BD45-35	CV07-250	Inf*	--	--	--	Inf	--	--	--	--	--	--	--	--	0.0196	--	--	0.01	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD45-36	CR3022	--	--	--	--	Inf	--	--	--	--	--	--	--	--	--	--	--	4.16	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.1	--	--	--
BD45-37	COVOX-88	Inf*	>10	--	--	Inf	--	--	--	--	--	--	--	--	--	0	--	0.03	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.49	--	--	--
BD45-38	COVOX-75	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf	Inf*	--	--	--	--	0	--	0.52	--	--	--	--	--	--	0.316	0.461	0.294	0.249	0.057	0.05	--	--	--	--	0.05	0.054	0.049	0.049	0	3.386	0.266391022	--
BD45-39	COVOX-45	Inf*	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf	Inf*	--	--	--	--	--	--	3.98	--	--	--	--	--	--	0.164	0.045	0.051	0.068	0.051	0.041	--	--	--	--	0.043	0.042	0.043	0.058	0.02	3.265	0.057274119	--
BD45-40	COVOX-40	Inf	--	--	--	0.498297	--	--	--	--	--	--	--	--	--	--	--	2.42	--	--	--	--	--	--	0.06	0.064	0.057	0.083	0.064	0.055	--	--	--	--	0.058	0.048	0.07	0.051	0.04	--	--	--
BD45-41	COVOX-384	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.00170479	--	--	--	--	--	0	--	0.58	--	--	--	--	--	--	0.17	0.302	0.16	0.125	0.062	0.055	--	--	--	--	0.06	0.054	0.095	0.056	0.32	2.907	0.793945648	--
BD45-42	COVOX-316	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0380944	--	--	--	--	--	0	--	0.12	--	--	--	--	--	--	0.067	0.072	0.061	0.05	0.057	0.049	--	--	--	--	0.053	0.051	0.051	0.052	0.47	3.211	0.874805357	--
BD45-43	COVOX-269	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0111549	0.00104237	--	--	--	--	0	--	0.12	--	--	--	--	--	--	0.076	0.067	0.05	0.049	0.061	0.044	--	--	--	--	0.048	0.046	0.058	0.077	0.47	3.382	0.743347132	--
BD45-44	COVOX-253H55L	Inf*	0.097	0.779465	0.670277	1.276554	0.614714	0.88172	Inf	0.00310712	--	--	--	--	--	0	--	0.28	--	--	--	--	--	--	0.12	0.172	0.097	0.096	0.06	0.043	--	--	--	--	0.052	0.048	0.049	0.084	0.41	2.977	0.871011085	--
BD45-45	COVOX-253H165L	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.00134466	--	--	--	--	--	0	--	0.3	--	--	--	--	--	--	0.139	0.195	0.141	0.122	0.063	0.046	--	--	--	--	0.054	0.047	0.05	0.049	0.4	3.186	0.897991212	--
BD45-46	COVOX-222	Inf*	0.0296	0.0361931	0.0229	0.2362662	0.270037	0.301743	0.2978239	--	--	--	--	--	--	0	0	0.06	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.48	4.0224	0.88521778	--
BD45-48	COVOX-150	Inf*	>10	Inf	Inf*	Inf	Inf	Inf	Inf*	--	--	--	--	--	--	0	--	0.13	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.46	3.9056	0.704117165	--
BD45-49	COVA2-39	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.298903	--	--	--	--	--	0	--	0.11	--	--	--	--	--	--	0.059	0.049	0.046	0.051	0.055	0.044	--	--	--	--	0.049	0.052	0.047	0.047	0.47	3.32	0.873795181	--
BD45-50	COVA2-04	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf*	0.266702	--	--	--	--	0	--	0.28	--	--	--	--	--	--	0.052	0.052	0.047	0.051	0.053	0.05	--	--	--	--	0.048	0.043	0.049	0.06	0	3.442	0.072632191	--
BD45-51	COVA1-16	Inf	3.4	11.2304	Inf	Inf*	Inf*	Inf	Inf*	1.23442	0.00952721	--	--	--	--	0	--	3.36	3.49	3.52	3.37	3.14	0.09	3.31	1.062	0.64	1.51	0.869	0.303	0.08	0.06	0.99	2.62	2.09	0.517	0.79	0.538	0.193	0.27	3.388	0.523317591	--
BD45-52	CC12.3	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	1.26675	0.000774863	--	--	--	--	0	--	0.08	--	--	--	--	--	--	0.057	0.066	0.052	0.08	0.059	0.049	--	--	--	--	0.057	0.045	0.051	0.056	0.47	3.282	0.786106033	--
BD45-53	CC12.1	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.330751	0.00340231	--	--	--	--	0	--	1.19	--	--	--	--	--	--	0.058	0.076	0.059	0.056	0.057	0.066	--	--	--	--	0.063	0.046	0.087	0.051	0.22	3.231	0.585886722	--
BD45-54	LY-CoV016	>10	>10	>10	>10	>10	>10	>10	>10	1.12459	>10	--	--	--	0.023816769	0	--	0.12	--	--	--	--	--	--	0.058	0.053	0.391	0.132	0.063	0.066	--	--	--	--	0.043	0.047	0.057	0.048	0.46	3.234	0.528447743	--
BD45-55	CA521	Inf*	>10	--	--	Inf	--	--	--	--	Inf*	--	--	--	--	0	--	0.21	--	--	--	--	--	--	0.123	0.059	0.059	0.049	0.06	0.046	--	--	--	--	0.058	0.047	0.048	0.049	0.44	--	--	--
BD45-56	C1A-F10	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf	Inf*	--	--	--	--	0	--	0.13	--	--	--	--	--	--	0.054	0.063	0.062	0.047	0.053	0.048	--	--	--	--	0.055	0.046	0.048	0.046	0.46	3.411	0.627968338	--
